date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:55	63828/63828	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2016:46:24%20GMT	https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/index-portfolio-slider.html	(from )
18:56:55	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Aug%202023%2013:26:57%20GMT	https://mixdesign.club/robots.txt		(from )
18:56:56	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Thu,%2019%20Jan%202023%2016:48:16%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/favicon.ico	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/favicon/favicon.ico	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:56:56	1198/1198	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Jan%202023%2016:48:19%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/icon.svg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/favicon/icon.svg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:56:56	23158/23158	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Jan%202023%2016:48:17%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/favicon/apple-touch-icon.png	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:56:58	400/400	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2019%20Jan%202023%2016:48:18%20GMT	https://mixdesign.club/themeforest/marvio/img/favicon/manifest.webmanifest	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/favicon/manifest.webmanifest	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:56:59	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Aug%202023%2013:27:00%20GMT	http://mixdesign.club/themeforest/marvio/img/favicon/og-image.jpg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/favicon/og-image.5.delayed	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:56:59	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Aug%202023%2013:27:01%20GMT	http://mixdesign.club/themeforest/marvio/	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/index.html	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:56:59	6513/6513	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202023%2016:46:36%20GMT	https://mixdesign.club/themeforest/marvio/css/loaders/loader.css	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/css/loaders/loader.css	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:01	492236/492236	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202023%2016:46:32%20GMT	https://mixdesign.club/themeforest/marvio/css/plugins.css	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/css/plugins.css	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:01	111305/111305	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202023%2016:46:29%20GMT	https://mixdesign.club/themeforest/marvio/css/main.css	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/css/main.css	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:01	1081/1081	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Jan%202023%2016:47:32%20GMT	https://mixdesign.club/themeforest/marvio/img/logo-loader.svg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/logo-loader.svg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:01	3977/3977	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Jan%202023%2016:47:33%20GMT	https://mixdesign.club/themeforest/marvio/img/logo.svg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/logo.svg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:02	11080/11080	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Jan%202023%2016:49:28%20GMT	https://mixdesign.club/themeforest/marvio/img/svg/icon-feature-1.svg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/svg/icon-feature-1.svg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:03	115426/115426	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202023%2016:47:37%20GMT	https://mixdesign.club/themeforest/marvio/img/backgrounds/500x500-features-bg-1.jpg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/backgrounds/500x500-features-bg-1.jpg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:03	79630/79630	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202023%2016:47:39%20GMT	https://mixdesign.club/themeforest/marvio/img/backgrounds/500x500-features-bg-2.jpg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/backgrounds/500x500-features-bg-2.jpg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:03	11857/11857	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Jan%202023%2016:48:57%20GMT	https://mixdesign.club/themeforest/marvio/img/svg/icon-feature-2.svg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/svg/icon-feature-2.svg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:04	13710/13710	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Jan%202023%2016:48:59%20GMT	https://mixdesign.club/themeforest/marvio/img/svg/icon-feature-3.svg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/svg/icon-feature-3.svg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:05	120566/120566	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202023%2016:47:40%20GMT	https://mixdesign.club/themeforest/marvio/img/backgrounds/500x500-features-bg-3.jpg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/backgrounds/500x500-features-bg-3.jpg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:06	116512/116512	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202023%2016:48:24%20GMT	https://mixdesign.club/themeforest/marvio/img/portfolio/1000x1000-portfolio-2.jpg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/portfolio/1000x1000-portfolio-2.jpg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
18:57:06	165813/165813	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Jan%202023%2016:48:24%20GMT	https://mixdesign.club/themeforest/marvio/img/portfolio/1000x1000-portfolio-1.jpg	C:/My%20Web%20Sites/crescenco2/mixdesign.club/themeforest/marvio/img/portfolio/1000x1000-portfolio-1.jpg	(from https://mixdesign.club/themeforest/marvio/index-portfolio-slider.html)
